,Seed,Samples,L2 PRECISION,L2 RECALL,L2 V PRECISION,L2 V RECALL,BIC PRECISION,BIC RECALL,BIC V PRECISION,BIC V RECALL
0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,400,0.7777777777777778,0.5384615384615384,0.0,0.0,0.0,0.0,0.0,0.0
3,0,800,0.8,0.6153846153846154,1.0,0.3333333333333333,1.0,0.23076923076923078,0.0,0.0
4,0,1600,1.0,0.7692307692307693,1.0,0.3333333333333333,1.0,0.6923076923076923,0.0,0.0
5,0,3200,0.9,0.6923076923076923,1.0,0.3333333333333333,0.8333333333333334,0.7692307692307693,0.0,0.0
6,0,6400,1.0,0.7692307692307693,1.0,0.3333333333333333,0.7222222222222222,1.0,0.5,0.6666666666666666
7,1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1,400,0.7777777777777778,0.5,0.0,0.0,1.0,0.07142857142857142,0.0,0.0
10,1,800,0.8,0.5714285714285714,1.0,0.2,1.0,0.2857142857142857,0.0,0.0
11,1,1600,1.0,0.7857142857142857,1.0,0.2,1.0,0.7142857142857143,1.0,0.2
12,1,3200,1.0,0.7857142857142857,1.0,0.4,0.9333333333333333,1.0,1.0,0.4
13,1,6400,1.0,0.7857142857142857,1.0,0.2,0.7368421052631579,1.0,0.5,0.2
14,2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2,400,1.0,0.46153846153846156,0.0,0.0,0.0,0.0,0.0,0.0
17,2,800,0.9,0.6923076923076923,1.0,0.2,1.0,0.07692307692307693,0.0,0.0
18,2,1600,0.8,0.6153846153846154,0.0,0.0,1.0,0.23076923076923078,0.0,0.0
19,2,3200,0.9,0.6923076923076923,1.0,0.2,0.9230769230769231,0.9230769230769231,1.0,0.4
20,2,6400,1.0,0.7692307692307693,1.0,0.2,0.7058823529411765,0.9230769230769231,1.0,0.4
21,3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,3,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,3,400,1.0,0.6923076923076923,0.0,0.0,0.0,0.0,0.0,0.0
24,3,800,1.0,0.7692307692307693,1.0,0.2,1.0,0.46153846153846156,0.0,0.0
25,3,1600,0.9,0.6923076923076923,1.0,0.2,0.8888888888888888,0.6153846153846154,0.0,0.0
26,3,3200,0.9,0.6923076923076923,0.0,0.0,0.9230769230769231,0.9230769230769231,0.75,0.6
27,3,6400,0.8,0.6153846153846154,0.0,0.0,0.7222222222222222,1.0,0.8,0.8
28,4,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,4,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,4,400,0.5555555555555556,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.0
31,4,800,0.8,0.6153846153846154,0.0,0.0,1.0,0.38461538461538464,0.0,0.0
32,4,1600,0.9,0.6923076923076923,1.0,0.16666666666666666,1.0,0.6923076923076923,0.0,0.0
33,4,3200,0.9,0.6923076923076923,0.0,0.0,0.9166666666666666,0.8461538461538461,0.6666666666666666,0.3333333333333333
34,4,6400,0.9,0.6923076923076923,0.0,0.0,0.7222222222222222,1.0,1.0,0.3333333333333333
35,5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,5,200,1.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0
37,5,400,0.5555555555555556,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.0
38,5,800,0.7,0.5384615384615384,0.0,0.0,1.0,0.3076923076923077,0.0,0.0
39,5,1600,0.9,0.6923076923076923,1.0,0.2,0.8888888888888888,0.6153846153846154,0.0,0.0
40,5,3200,1.0,0.7692307692307693,1.0,0.2,0.9090909090909091,0.7692307692307693,0.0,0.0
41,5,6400,1.0,0.7692307692307693,1.0,0.2,0.7058823529411765,0.9230769230769231,0.75,0.6
42,6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,6,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,6,400,0.5714285714285714,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0
45,6,800,0.7,0.5384615384615384,0.0,0.0,1.0,0.3076923076923077,0.0,0.0
46,6,1600,0.8,0.6153846153846154,1.0,0.16666666666666666,1.0,0.46153846153846156,0.0,0.0
47,6,3200,0.9,0.6923076923076923,1.0,0.16666666666666666,0.8333333333333334,0.7692307692307693,1.0,0.3333333333333333
48,6,6400,0.9,0.6923076923076923,1.0,0.16666666666666666,0.5625,0.6923076923076923,0.5,0.3333333333333333
49,7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,7,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,7,400,0.7777777777777778,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0
52,7,800,0.8,0.6666666666666666,0.0,0.0,1.0,0.08333333333333333,0.0,0.0
53,7,1600,0.9,0.75,0.0,0.0,1.0,0.6666666666666666,0.0,0.0
54,7,3200,0.8,0.6666666666666666,0.0,0.0,0.8181818181818182,0.75,1.0,0.2
55,7,6400,0.9,0.75,0.0,0.0,0.6470588235294118,0.9166666666666666,0.25,0.2
56,8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,8,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,8,400,0.7777777777777778,0.5833333333333334,0.0,0.0,1.0,0.16666666666666666,0.0,0.0
59,8,800,0.5,0.4166666666666667,0.0,0.0,1.0,0.25,0.0,0.0
60,8,1600,0.9,0.75,0.0,0.0,0.8888888888888888,0.6666666666666666,0.0,0.0
61,8,3200,0.9,0.75,0.0,0.0,0.7692307692307693,0.8333333333333334,0.6666666666666666,0.4
62,8,6400,1.0,0.8333333333333334,1.0,0.2,0.6470588235294118,0.9166666666666666,1.0,0.4
63,9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,9,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,9,400,0.6666666666666666,0.5454545454545454,0.0,0.0,1.0,0.18181818181818182,0.0,0.0
66,9,800,0.8,0.7272727272727273,1.0,0.5,1.0,0.36363636363636365,0.0,0.0
67,9,1600,0.9,0.8181818181818182,0.0,0.0,0.7777777777777778,0.6363636363636364,0.0,0.0
68,9,3200,0.8,0.7272727272727273,1.0,0.5,0.8461538461538461,1.0,1.0,1.0
69,9,6400,0.8,0.7272727272727273,0.0,0.0,0.6470588235294118,1.0,1.0,1.0
